GrainID,SchmidFactor,SlipSystem,SlipFamily,TraceAngle_deg,TraceAngle_deg_fin,IsMaxSchmid
1,0.49710098864296,(-12-1-2)[1-21-3],Pyramidal II <c+a>,9.79666619849302,-9.79666619849302,1
1,0.447309797167689,(0-111)[1-21-3],Pyramidal I <c+a>,225.947174698833,-45.9471746988326,0
1,0.446387814031934,(-110-1)[1-21-3],Pyramidal I <c+a>,333.716007499272,26.2839925007279,0
1,0.421987030480654,(-1100)[11-20],Prismatic,295.813274334695,64.1867256653046,0
1,0.420433576870153,(01-10)[2-1-10],Prismatic,83.8996186213939,-83.8996186213939,0
1,0.40910655312943,(-1101)[11-20],Pyramidal <a>,241.365847360682,-61.3658473606821,0
1,0.40752831935082,(01-11)[2-1-10],Pyramidal <a>,138.594871101449,41.4051288985514,0
1,0.358580871828401,(1-21-2)[-12-1-3],Pyramidal II <c+a>,10.1107249428084,-10.1107249428084,0
1,0.330441473266916,(-110-1)[11-20],Pyramidal <a>,333.716007499272,26.2839925007279,0
1,0.329297221592748,(0-111)[2-1-10],Pyramidal <a>,225.947174698833,-45.9471746988326,0
1,0.322600401023726,(01-11)[-12-1-3],Pyramidal I <c+a>,138.594871101449,41.4051288985514,0
1,0.322063109804838,(-1101)[-12-1-3],Pyramidal I <c+a>,241.365847360682,-61.3658473606821,0
1,0.270803807012708,(0-111)[11-23],Pyramidal I <c+a>,225.947174698833,-45.9471746988326,0
1,0.269268495669208,(-110-1)[2-1-1-3],Pyramidal I <c+a>,333.716007499272,26.2839925007279,0
1,0.16281522383712,(0001)[1-210],Basal,189.9123,-9.91229999999999,0
1,0.133047078610508,(-1-122)[11-23],Pyramidal II <c+a>,240.580636321537,-60.5806363215374,0
1,0.131637964877207,(-211-2)[2-1-1-3],Pyramidal II <c+a>,319.1740873575,40.8259126424996,0
1,0.104161905930162,(01-11)[-1-123],Pyramidal I <c+a>,138.594871101449,41.4051288985514,0
1,0.10277866856438,(-1101)[2-1-13],Pyramidal I <c+a>,241.365847360682,-61.3658473606821,0
1,0.0816327891489671,(0001)[11-20],Basal,189.9123,-9.91229999999999,0
1,0.0811824346881534,(0001)[-2110],Basal,189.9123,-9.91229999999999,0
1,0.0798093315366821,(-101-1)[1-210],Pyramidal <a>,308.372228592034,51.6277714079656,0
1,0.0770868460839043,(-1011)[1-210],Pyramidal <a>,251.429027295964,-71.4290272959642,0
1,0.0635954436692602,(11-22)[-1-123],Pyramidal II <c+a>,132.044893237553,47.9551067624471,0
1,0.0625694830038955,(-2112)[2-1-13],Pyramidal II <c+a>,247.805614548365,-67.8056145483646,0
1,0.0326072589352024,(-101-1)[2-1-1-3],Pyramidal I <c+a>,308.372228592034,51.6277714079656,0
1,0.0316092388105895,(-1011)[11-23],Pyramidal I <c+a>,251.429027295964,-71.4290272959642,0
1,0.0101711921502754,(-101-1)[-1-123],Pyramidal I <c+a>,308.372228592034,51.6277714079656,0
1,0.00970993792024675,(-1011)[2-1-13],Pyramidal I <c+a>,251.429027295964,-71.4290272959642,0
1,0.00155345361050152,(-1010)[1-210],Prismatic,279.897195138939,80.1028048610608,0
2,0.497026087188318,(-1-122)[11-23],Pyramidal II <c+a>,193.520944862109,-13.5209448621086,1
2,0.462601308873821,(0-111)[11-23],Pyramidal I <c+a>,159.296250511893,20.7037494881074,0
2,0.438368722209901,(-101-1)[1-210],Pyramidal <a>,310.226395466334,49.7736045336657,0
2,0.430961643066179,(-1011)[11-23],Pyramidal I <c+a>,226.17510537358,-46.17510537358,0
2,0.425694728256455,(-1010)[1-210],Prismatic,258.421553618601,-78.4215536186007,0
2,0.386261061724854,(01-11)[2-1-10],Pyramidal <a>,246.701330863868,-66.7013308638678,0
2,0.378310233037025,(01-10)[2-1-10],Prismatic,306.985540374344,53.0144596256557,0
2,0.314265481039406,(0-111)[1-21-3],Pyramidal I <c+a>,159.296250511893,20.7037494881074,0
2,0.307677182970644,(-1011)[1-210],Pyramidal <a>,226.17510537358,-46.17510537358,0
2,0.284949310452114,(11-22)[-1-123],Pyramidal II <c+a>,182.038982264171,-2.03898226417064,0
2,0.276741746416899,(0-111)[2-1-10],Pyramidal <a>,159.296250511893,20.7037494881075,0
2,0.266044169527664,(-1011)[2-1-13],Pyramidal I <c+a>,226.17510537358,-46.17510537358,0
2,0.262579699683788,(01-11)[-1-123],Pyramidal I <c+a>,246.701330863868,-66.7013308638678,0
2,0.249707589784754,(-101-1)[-1-123],Pyramidal I <c+a>,310.226395466334,49.7736045336657,0
2,0.24927302018656,(0001)[11-20],Basal,190.181861976329,-10.1818619763292,0
2,0.161626975793003,(-1101)[11-20],Pyramidal <a>,252.765110271961,-72.7651102719609,0
2,0.1521750013135,(-12-1-2)[1-21-3],Pyramidal II <c+a>,322.101945384661,37.8980546153387,0
2,0.135621992438301,(0001)[1-210],Basal,190.181861976329,-10.1818619763292,0
2,0.113651027748258,(0001)[-2110],Basal,190.181861976329,-10.1818619763292,0
2,0.105690615347873,(-2112)[2-1-13],Pyramidal II <c+a>,240.794017549155,-60.7940175491553,0
2,0.0785838787542104,(-110-1)[11-20],Pyramidal <a>,308.773475654984,51.2265243450162,0
2,0.0760315712416162,(-1101)[2-1-13],Pyramidal I <c+a>,252.765110271961,-72.7651102719609,0
2,0.0555406277222993,(01-11)[-12-1-3],Pyramidal I <c+a>,246.701330863868,-66.7013308638678,0
2,0.0473844952194306,(-1100)[11-20],Prismatic,280.935432326759,79.0645676732412,0
2,0.04068236962891,(-110-1)[1-21-3],Pyramidal I <c+a>,308.773475654984,51.2265243450162,0
2,0.0367903720851514,(1-21-2)[-12-1-3],Pyramidal II <c+a>,70.7849548022946,-70.7849548022946,0
2,0.0147383878206878,(-101-1)[2-1-1-3],Pyramidal I <c+a>,310.226395466334,49.7736045336657,0
2,0.0106018028880341,(-1101)[-12-1-3],Pyramidal I <c+a>,252.765110271961,-72.7651102719609,0
2,0.00899846784001714,(-211-2)[2-1-1-3],Pyramidal II <c+a>,309.290159730184,50.7098402698163,0
2,0.00143922879406416,(-110-1)[2-1-1-3],Pyramidal I <c+a>,308.773475654984,51.2265243450162,0
3,0.44890990023854,(0001)[1-210],Basal,183.864019762406,-3.86401976240603,1
3,0.402744403865777,(-110-1)[11-20],Pyramidal <a>,275.974114343515,84.0258856564853,0
3,0.388508317041511,(1-21-2)[-12-1-3],Pyramidal II <c+a>,6.31528829646958,-6.31528829646958,0
3,0.364547211879296,(01-11)[-12-1-3],Pyramidal I <c+a>,157.719716165356,22.2802838346443,0
3,0.356826086030928,(0-111)[2-1-10],Pyramidal <a>,274.408111346995,85.5918886530055,0
3,0.333920429110582,(-1101)[-12-1-3],Pyramidal I <c+a>,214.431774327243,-34.431774327243,0
3,0.326401457893136,(-1100)[11-20],Prismatic,234.23523766363,-54.2352376636296,0
3,0.293585858356233,(01-10)[2-1-10],Prismatic,139.52606108555,40.4739389144497,0
3,0.280021895367252,(01-11)[-1-123],Pyramidal I <c+a>,157.719716165356,22.2802838346443,0
3,0.245050311686672,(-1011)[1-210],Pyramidal <a>,249.994319275447,-69.9943192754475,0
3,0.243181574650736,(-1101)[2-1-13],Pyramidal I <c+a>,214.431774327243,-34.431774327243,0
3,0.242265476876484,(0001)[11-20],Basal,183.864019762406,-3.86401976240603,0
3,0.210055302559472,(-110-1)[2-1-1-3],Pyramidal I <c+a>,275.974114343515,84.0258856564853,0
3,0.206644423362056,(0001)[-2110],Basal,183.864019762406,-3.86401976240603,0
3,0.18991226724545,(-1011)[2-1-13],Pyramidal I <c+a>,249.994319275448,-69.9943192754475,0
3,0.18753974828171,(-101-1)[1-210],Pyramidal <a>,300.015768521681,59.9842314783185,0
3,0.185243363417461,(0-111)[11-23],Pyramidal I <c+a>,274.408111346995,85.5918886530055,0
3,0.169286337749218,(-1101)[11-20],Pyramidal <a>,214.431774327243,-34.431774327243,0
3,0.157694092179105,(01-11)[2-1-10],Pyramidal <a>,157.719716165356,22.2802838346443,0
3,0.153271293689484,(-101-1)[-1-123],Pyramidal I <c+a>,300.015768521681,59.9842314783185,0
3,0.146179210813253,(-211-2)[2-1-1-3],Pyramidal II <c+a>,292.221486669502,67.7785133304982,0
3,0.135612465592429,(-1-122)[11-23],Pyramidal II <c+a>,257.163915630661,-77.1639156306611,0
3,0.0705024256700561,(11-22)[-1-123],Pyramidal II <c+a>,138.240179834793,41.7598201652071,0
3,0.0585633062890324,(-1011)[11-23],Pyramidal I <c+a>,249.994319275448,-69.9943192754475,0
3,0.0527484626623303,(-101-1)[2-1-1-3],Pyramidal I <c+a>,300.015768521681,59.9842314783185,0
3,0.032815599536903,(-1010)[1-210],Prismatic,275.253425275562,84.7465747244381,0
3,0.0296299610110278,(-2112)[2-1-13],Pyramidal II <c+a>,232.489607374824,-52.4896073748236,0
3,0.00794805479123411,(-12-1-2)[1-21-3],Pyramidal II <c+a>,284.936251502314,75.0637484976864,0
3,0.00727496983722635,(0-111)[1-21-3],Pyramidal I <c+a>,274.408111346995,85.5918886530055,0
3,0.00701419422177222,(-110-1)[1-21-3],Pyramidal I <c+a>,275.974114343515,84.0258856564853,0
4,0.458896296414153,(11-22)[-1-123],Pyramidal II <c+a>,187.165374831582,-7.16537483158208,1
4,0.445316438031311,(-1-122)[11-23],Pyramidal II <c+a>,187.12845841139,-7.12845841139045,0
4,0.432845554031564,(01-10)[2-1-10],Prismatic,275.563859332818,84.4361406671816,0
4,0.432641420531018,(-1010)[1-210],Prismatic,278.732397308318,81.267602691682,0
4,0.412538950364456,(-101-1)[-1-123],Pyramidal I <c+a>,325.580386918562,34.4196130814382,0
4,0.412473538573171,(01-11)[-1-123],Pyramidal I <c+a>,228.734678330034,-48.734678330034,0
4,0.40036235362188,(-1011)[11-23],Pyramidal I <c+a>,230.149393466621,-50.1493934666206,0
4,0.400236007654673,(0-111)[11-23],Pyramidal I <c+a>,144.125307848487,35.874692151513,0
4,0.383117151926662,(0-111)[2-1-10],Pyramidal <a>,144.125307848487,35.874692151513,0
4,0.382972646941236,(-1011)[1-210],Pyramidal <a>,230.149393466621,-50.1493934666206,0
4,0.375460842410895,(01-11)[2-1-10],Pyramidal <a>,228.734678330034,-48.7346783300341,0
4,0.375247595815002,(-101-1)[1-210],Pyramidal <a>,325.580386918562,34.4196130814381,0
4,0.211403185743533,(-101-1)[2-1-1-3],Pyramidal I <c+a>,325.580386918562,34.4196130814382,0
4,0.211223472041733,(01-11)[-12-1-3],Pyramidal I <c+a>,228.734678330034,-48.734678330034,0
4,0.195085898741141,(-1011)[2-1-13],Pyramidal I <c+a>,230.149393466621,-50.1493934666206,0
4,0.194882096925957,(0-111)[1-21-3],Pyramidal I <c+a>,144.125307848487,35.874692151513,0
4,0.1163984517271,(-211-2)[2-1-1-3],Pyramidal II <c+a>,313.736090843853,46.2639091561466,0
4,0.116268804952829,(1-21-2)[-12-1-3],Pyramidal II <c+a>,60.5653836451414,-60.5653836451414,0
4,0.109638867748852,(-2112)[2-1-13],Pyramidal II <c+a>,241.246126319526,-61.246126319526,0
4,0.109448530548235,(-12-1-2)[1-21-3],Pyramidal II <c+a>,313.042458168475,46.9575418315247,0
4,0.0175940830025405,(0001)[11-20],Basal,187.147380903404,-7.1473809034045,0
4,0.0128161619197531,(-110-1)[11-20],Pyramidal <a>,305.948961092431,54.0510389075686,0
4,0.0108750153588276,(-1101)[11-20],Pyramidal <a>,248.346087901773,-68.3460879017733,0
4,0.00881566822076273,(0001)[1-210],Basal,187.147380903404,-7.1473809034045,0
4,0.00877841478177777,(0001)[-2110],Basal,187.147380903404,-7.1473809034045,0
4,0.00850982763787007,(-1100)[11-20],Prismatic,277.147567900606,82.8524320993935,0
4,0.00358708907524684,(-110-1)[2-1-1-3],Pyramidal I <c+a>,305.948961092431,54.0510389075686,0
4,0.00328247799456039,(-110-1)[1-21-3],Pyramidal I <c+a>,305.948961092431,54.0510389075686,0
4,0.00306517488869554,(-1101)[-12-1-3],Pyramidal I <c+a>,248.346087901773,-68.3460879017733,0
4,0.00276392182999584,(-1101)[2-1-13],Pyramidal I <c+a>,248.346087901773,-68.3460879017733,0
5,0.498810352493082,(-1-122)[11-23],Pyramidal II <c+a>,189.765896564433,-9.76589656443301,1
5,0.452370379767699,(-1011)[11-23],Pyramidal I <c+a>,225.216603623159,-45.2166036231585,0
5,0.444400358270186,(0-111)[11-23],Pyramidal I <c+a>,154.84830549999,25.15169450001,0
5,0.422089641469371,(01-10)[2-1-10],Prismatic,298.946661055709,61.0533389442913,0
5,0.417144466192127,(01-11)[2-1-10],Pyramidal <a>,244.808159476545,-64.8081594765448,0
5,0.408938409225084,(-1010)[1-210],Prismatic,261.395822315539,-81.3958223155394,0
5,0.403597653967224,(-101-1)[1-210],Pyramidal <a>,317.734709902719,42.2652900972811,0
5,0.335410413429186,(11-22)[-1-123],Pyramidal II <c+a>,192.558094962999,-12.5580949629993,0
5,0.322583389793071,(0-111)[2-1-10],Pyramidal <a>,154.84830549999,25.15169450001,0
5,0.313082176490117,(-1011)[1-210],Pyramidal <a>,225.216603623158,-45.2166036231584,0
5,0.303695563892231,(-101-1)[-1-123],Pyramidal I <c+a>,317.734709902719,42.2652900972811,0
5,0.299311656172743,(01-11)[-1-123],Pyramidal I <c+a>,244.808159476545,-64.8081594765447,0
5,0.284555785724123,(-1011)[2-1-13],Pyramidal I <c+a>,225.216603623159,-45.2166036231585,0
5,0.271493036588035,(0-111)[1-21-3],Pyramidal I <c+a>,154.84830549999,25.15169450001,0
5,0.192058729558218,(0001)[11-20],Basal,190.722359099763,-10.7223590997628,0
5,0.138343111107547,(-2112)[2-1-13],Pyramidal II <c+a>,240.640561440532,-60.6405614405322,0
5,0.126249796743749,(-12-1-2)[1-21-3],Pyramidal II <c+a>,320.177964198756,39.8220358012443,0
5,0.10406228970201,(-110-1)[11-20],Pyramidal <a>,308.937951026803,51.0620489731972,0
5,0.0981284761278415,(0001)[-2110],Basal,190.722359099763,-10.7223590997628,0
5,0.0939302534303768,(0001)[1-210],Basal,190.722359099763,-10.7223590997628,0
5,0.0873639374267833,(-101-1)[2-1-1-3],Pyramidal I <c+a>,317.734709902719,42.2652900972811,0
5,0.0810142641741531,(-1101)[11-20],Pyramidal <a>,252.268734706135,-72.268734706135,0
5,0.0757188281288709,(01-11)[-12-1-3],Pyramidal I <c+a>,244.808159476545,-64.8081594765447,0
5,0.0548572572929099,(-211-2)[2-1-1-3],Pyramidal II <c+a>,312.015344110927,47.9846558890729,0
5,0.0463357114944899,(1-21-2)[-12-1-3],Pyramidal II <c+a>,69.6053718108857,-69.6053718108857,0
5,0.0445187509960066,(-110-1)[1-21-3],Pyramidal I <c+a>,308.937951026803,51.0620489731972,0
5,0.0358399095794062,(-1101)[2-1-13],Pyramidal I <c+a>,252.268734706135,-72.268734706135,0
5,0.0238697755940762,(-1100)[11-20],Prismatic,280.568737370455,79.4312626295445,0
5,0.0112594830042898,(-110-1)[2-1-1-3],Pyramidal I <c+a>,308.937951026803,51.0620489731972,0
5,0.00758439520388973,(-1101)[-12-1-3],Pyramidal I <c+a>,252.268734706135,-72.268734706135,0
6,0.499665637973266,(-1-122)[11-23],Pyramidal II <c+a>,184.455252595623,-4.45525259562319,1
6,0.451003885870783,(-1011)[11-23],Pyramidal I <c+a>,218.986820807798,-38.986820807798,0
6,0.44730450066911,(0-111)[11-23],Pyramidal I <c+a>,150.142759291577,29.8572407084234,0
6,0.415870535672989,(01-11)[2-1-10],Pyramidal <a>,240.714864044293,-60.7148640442929,0
6,0.414113632596857,(01-10)[2-1-10],Prismatic,295.775935202734,64.2240647972662,0
6,0.409642003251694,(-101-1)[1-210],Pyramidal <a>,309.506599611265,50.4934003887346,0
6,0.408180772226684,(-1010)[1-210],Prismatic,253.425713897763,-73.4257138977633,0
6,0.314328947513864,(11-22)[-1-123],Pyramidal II <c+a>,185.777866891273,-5.77786689127282,0
6,0.309879066967624,(0-111)[2-1-10],Pyramidal <a>,150.142759291577,29.8572407084234,0
6,0.305710040078508,(-1011)[1-210],Pyramidal <a>,218.986820807798,-38.986820807798,0
6,0.287140816928437,(-1011)[2-1-13],Pyramidal I <c+a>,218.986820807798,-38.986820807798,0
6,0.283490175453673,(-101-1)[-1-123],Pyramidal I <c+a>,309.506599611265,50.4934003887347,0
6,0.281616384263506,(01-11)[-1-123],Pyramidal I <c+a>,240.714864044293,-60.7148640442929,0
6,0.281206799392221,(0-111)[1-21-3],Pyramidal I <c+a>,150.142759291577,29.8572407084234,0
6,0.217842977874295,(0001)[11-20],Basal,184.877615259787,-4.87761525978698,0
6,0.133869646153151,(-2112)[2-1-13],Pyramidal II <c+a>,234.575367418192,-54.5753674181919,0
6,0.128310552727866,(-12-1-2)[1-21-3],Pyramidal II <c+a>,314.884383980098,45.1156160199021,0
6,0.110160495594481,(-110-1)[11-20],Pyramidal <a>,303.004536568878,56.9954634311219,0
6,0.109990090031517,(0001)[-2110],Basal,184.877615259787,-4.87761525978698,0
6,0.107852887842778,(0001)[1-210],Basal,184.877615259787,-4.87761525978698,0
6,0.0997629362840702,(-1101)[11-20],Pyramidal <a>,246.627059784271,-66.6270597842713,0
6,0.0639187285909029,(-101-1)[2-1-1-3],Pyramidal I <c+a>,309.506599611265,50.4934003887347,0
6,0.0587063933434382,(01-11)[-12-1-3],Pyramidal I <c+a>,240.714864044293,-60.7148640442929,0
6,0.0505276475006938,(-110-1)[1-21-3],Pyramidal I <c+a>,303.004536568878,56.9954634311219,0
6,0.0464674211546449,(-1101)[2-1-13],Pyramidal I <c+a>,246.627059784271,-66.6270597842713,0
6,0.0402921552985404,(-211-2)[2-1-1-3],Pyramidal II <c+a>,305.256249426491,54.7437505735093,0
6,0.0365513531230752,(1-21-2)[-12-1-3],Pyramidal II <c+a>,64.5596164904915,-64.5596164904915,0
6,0.00974582767663316,(-1100)[11-20],Prismatic,274.798042195605,85.2019578043946,0
6,0.0085192744770272,(-110-1)[2-1-1-3],Pyramidal I <c+a>,303.004536568878,56.9954634311219,0
6,0.00700632443123581,(-1101)[-12-1-3],Pyramidal I <c+a>,246.627059784271,-66.6270597842713,0
7,0.498331383422604,(-1-122)[11-23],Pyramidal II <c+a>,191.196647454282,-11.1966474542824,1
7,0.461000234007331,(0-111)[11-23],Pyramidal I <c+a>,156.694609582081,23.3053904179191,0
7,0.434909404326663,(-1011)[11-23],Pyramidal I <c+a>,224.321271211542,-44.3212712115416,0
7,0.434100468468194,(-101-1)[1-210],Pyramidal <a>,309.734616139253,50.2653838607468,0
7,0.425491379336971,(-1010)[1-210],Prismatic,257.322797971511,-77.3227979715108,0
7,0.390894373134128,(01-11)[2-1-10],Pyramidal <a>,244.028754954696,-64.0287549546961,0
7,0.385733196682112,(01-10)[2-1-10],Prismatic,303.474154885636,56.5258451143637,0
7,0.311589060138638,(-1011)[1-210],Pyramidal <a>,224.321271211542,-44.3212712115416,0
7,0.30817495771689,(0-111)[1-21-3],Pyramidal I <c+a>,156.694609582081,23.3053904179191,0
7,0.29678074019995,(11-22)[-1-123],Pyramidal II <c+a>,181.877197081669,-1.87719708166875,0
7,0.285117455942423,(0-111)[2-1-10],Pyramidal <a>,156.694609582081,23.3053904179191,0
7,0.27240752154492,(01-11)[-1-123],Pyramidal I <c+a>,244.028754954696,-64.0287549546961,0
7,0.267895132796468,(-1011)[2-1-13],Pyramidal I <c+a>,224.321271211542,-44.3212712115416,0
7,0.261150537333238,(-101-1)[-1-123],Pyramidal I <c+a>,309.734616139253,50.2653838607468,0
7,0.236900703272892,(0001)[11-20],Basal,188.379503687606,-8.37950368760562,0
7,0.149314503791534,(-12-1-2)[1-21-3],Pyramidal II <c+a>,319.879079231496,40.1209207685037,0
7,0.148983012525771,(-1101)[11-20],Pyramidal <a>,250.757408878787,-70.7574088787866,0
7,0.127133258899484,(0001)[1-210],Basal,188.379503687606,-8.37950368760562,0
7,0.110766315715251,(-2112)[2-1-13],Pyramidal II <c+a>,238.950709305185,-58.9507093051852,0
7,0.109767444373408,(0001)[-2110],Basal,188.379503687606,-8.37950368760562,0
7,0.0793053129954895,(-110-1)[11-20],Pyramidal <a>,306.925538524024,53.0744614759762,0
7,0.0687573438607821,(-1101)[2-1-13],Pyramidal I <c+a>,250.757408878787,-70.7574088787866,0
