GrainID,SchmidFactor,SlipSystem,SlipFamily,TraceAngle_deg,TraceAngle_deg_fin,IsMaxSchmid
12,0.49680742088412,(-111)[1-12],-,247.328623281354,-67.3286232813538,1
12,0.491901754758878,(-111)[2-13],-,247.328623281354,-67.3286232813538,0
12,0.483808650391378,(-111)[-12-3],-,247.328623281354,-67.3286232813538,0
12,0.440954018019723,(-111)[101],-,247.328623281354,-67.3286232813538,0
12,0.419541676528828,(-111)[0-11],-,247.328623281354,-67.3286232813538,0
12,0.415649656447669,(1-11)[-112],-,105.960270926947,74.0397290730525,0
12,0.412956888025088,(1-11)[-213],-,105.960270926947,74.0397290730525,0
12,0.403362831940841,(1-11)[1-2-3],-,105.960270926947,74.0397290730525,0
12,0.372654904789618,(1-11)[10-1],-,105.960270926947,74.0397290730526,0
12,0.347271418326294,(1-11)[011],-,105.960270926947,74.0397290730526,0
12,0.341423010451751,(-111)[312],-,247.328623281354,-67.3286232813538,0
12,0.309050592981752,(-111)[13-2],-,247.328623281354,-67.3286232813538,0
12,0.291294685490471,(1-11)[-3-12],-,105.960270926947,74.0397290730525,0
12,0.266947342127683,(-111)[211],-,247.328623281354,-67.3286232813538,0
12,0.252918461153482,(1-11)[-1-3-2],-,105.960270926947,74.0397290730525,0
12,0.229860078756437,(-111)[12-1],-,247.328623281354,-67.3286232813538,0
12,0.229807572337692,(1-11)[21-1],-,105.960270926947,74.0397290730525,0
12,0.185842084109977,(1-11)[121],-,105.960270926947,74.0397290730525,0
12,0.182851161777126,(-111)[-3-2-1],-,247.328623281354,-67.3286232813538,0
12,0.160038426871606,(1-11)[32-1],-,105.960270926947,74.0397290730525,0
12,0.142385639939626,(-111)[-2-31],-,247.328623281354,-67.3286232813538,0
12,0.11206814645037,(1-11)[231],-,105.960270926947,74.0397290730525,0
12,0.0936825996934293,(111)[-110],-,12.3064183965732,-12.3064183965732,0
12,0.0911798408766605,(111)[-23-1],-,12.3064183965731,-12.3064183965731,0
12,0.0858636312396462,(111)[-321],-,12.3064183965731,-12.3064183965731,0
12,0.0851918334057232,(111)[1-21],-,12.3064183965731,-12.3064183965731,0
12,0.0770711890484326,(111)[-211],-,12.3064183965731,-12.3064183965731,0
12,0.076133598483537,(111)[1-32],-,12.3064183965731,-12.3064183965731,0
12,0.0655011792095084,(111)[3-1-2],-,12.3064183965731,-12.3064183965731,0
12,0.0538739841552271,(111)[0-11],-,12.3064183965732,-12.3064183965732,0
12,0.0468867717392097,(11-1)[-110],-,357.267733593257,2.73226640674335,0
12,0.0462114638889195,(11-1)[3-21],-,357.267733593257,2.73226640674341,0
12,0.0435190867968319,(11-1)[2-11],-,357.267733593257,2.73226640674341,0
12,0.0423962059686526,(11-1)[2-3-1],-,357.267733593257,2.73226640674341,0
12,0.0398086155382023,(111)[10-1],-,12.3064183965732,-12.3064183965732,0
12,0.0392583258632957,(11-1)[-31-2],-,357.267733593257,2.73226640674341,0
12,0.0376911840583644,(11-1)[-121],-,357.267733593257,2.73226640674341,0
12,0.031627810022762,(11-1)[-132],-,357.267733593257,2.73226640674341,0
12,0.0284904976919026,(11-1)[101],-,357.267733593257,2.73226640674335,0
12,0.0256786616671522,(111)[-1-23],-,12.3064183965731,-12.3064183965731,0
12,0.0253834864633243,(1-11)[110],-,105.960270926947,74.0397290730526,0
12,0.021412341490895,(-111)[110],-,247.328623281354,-67.3286232813538,0
12,0.0183962740473071,(11-1)[011],-,357.267733593257,2.73226640674335,0
12,0.0145836538661575,(11-1)[-2-1-3],-,357.267733593257,2.73226640674341,0
12,0.0097300327561092,(111)[21-3],-,12.3064183965731,-12.3064183965731,0
12,0.00812064435729061,(111)[11-2],-,12.3064183965731,-12.3064183965731,0
12,0.00582790273846753,(11-1)[112],-,357.267733593257,2.73226640674341,0
12,0.00313788010535695,(11-1)[123],-,357.267733593257,2.73226640674341,0
15,0.475940209796568,(11-1)[-110],-,36.2194404851878,-36.2194404851878,1
15,0.453629225947993,(11-1)[2-3-1],-,36.2194404851877,-36.2194404851877,0
15,0.445813226950311,(11-1)[3-21],-,36.2194404851877,-36.2194404851877,0
15,0.433235489020403,(-111)[-3-2-1],-,282.04935631404,77.9506436859604,0
15,0.42723531246634,(-111)[211],-,282.04935631404,77.9506436859604,0
15,0.418145880206086,(11-1)[-121],-,36.2194404851877,-36.2194404851877,0
15,0.406240095096174,(-111)[110],-,282.04935631404,77.9506436859604,0
15,0.40620674452656,(11-1)[2-11],-,36.2194404851877,-36.2194404851877,0
15,0.405838007666074,(-111)[312],-,282.04935631404,77.9506436859604,0
15,0.403453287583485,(1-11)[10-1],-,149.80811530561,30.1918846943899,0
15,0.385386774694769,(1-11)[-3-12],-,149.80811530561,30.1918846943899,0
15,0.37706827143189,(1-11)[-213],-,149.80811530561,30.1918846943899,0
15,0.367592980157004,(11-1)[-132],-,36.2194404851877,-36.2194404851877,0
15,0.355754158099459,(1-11)[21-1],-,149.80811530561,30.1918846943899,0
15,0.351960982161639,(11-1)[-31-2],-,36.2194404851877,-36.2194404851877,0
15,0.343047434475833,(1-11)[-112],-,149.80811530561,30.1918846943899,0
15,0.334486128270817,(-111)[-2-31],-,282.04935631404,77.9506436859604,0
15,0.333753172883091,(-111)[101],-,282.04935631404,77.9506436859604,0
15,0.313300521713542,(1-11)[32-1],-,149.80811530561,30.1918846943899,0
15,0.296663515187785,(1-11)[1-2-3],-,149.80811530561,30.1918846943899,0
15,0.276393172311847,(-111)[12-1],-,282.04935631404,77.9506436859604,0
15,0.248309699695983,(11-1)[011],-,36.2194404851878,-36.2194404851878,0
15,0.227630510100585,(11-1)[101],-,36.2194404851878,-36.2194404851878,0
15,0.224896202853501,(-111)[2-13],-,282.04935631404,77.9506436859604,0
15,0.21273098924867,(1-11)[110],-,149.80811530561,30.1918846943899,0
15,0.208339286166902,(-111)[13-2],-,282.04935631404,77.9506436859604,0
15,0.190722298334814,(1-11)[011],-,149.80811530561,30.1918846943899,0
15,0.1737600702204,(111)[-211],-,39.975111761175,-39.975111761175,0
15,0.173444746461833,(111)[3-1-2],-,39.975111761175,-39.975111761175,0
15,0.167813256914949,(111)[-321],-,39.975111761175,-39.975111761175,0
15,0.157930395400192,(111)[10-1],-,39.975111761175,-39.975111761175,0
15,0.150842140154493,(-111)[1-12],-,282.04935631404,77.9506436859604,0
15,0.143030874548277,(111)[-110],-,39.975111761175,-39.975111761175,0
15,0.125015646886028,(111)[21-3],-,39.975111761175,-39.975111761175,0
15,0.102489688698493,(111)[-23-1],-,39.975111761175,-39.975111761175,0
15,0.101668243786354,(11-1)[123],-,36.2194404851877,-36.2194404851877,0
15,0.099783398672174,(111)[11-2],-,39.975111761175,-39.975111761175,0
15,0.088723259506984,(1-11)[231],-,149.80811530561,30.1918846943899,0
15,0.0782202467933066,(11-1)[-2-1-3],-,36.2194404851877,-36.2194404851877,0
15,0.0739766715482258,(111)[1-21],-,39.975111761175,-39.975111761175,0
15,0.0724869222130836,(-111)[0-11],-,282.04935631404,77.9506436859604,0
15,0.071351879395257,(-111)[-12-3],-,282.04935631404,77.9506436859604,0
15,0.0709550577633401,(111)[-1-23],-,39.975111761175,-39.975111761175,0
15,0.0637677497183478,(1-11)[-1-3-2],-,149.80811530561,30.1918846943899,0
15,0.0427976100289204,(111)[1-32],-,39.975111761175,-39.975111761175,0
15,0.0148995208519147,(111)[0-11],-,39.975111761175,-39.975111761175,0
15,0.013254419575389,(11-1)[112],-,36.2194404851877,-36.2194404851877,0
15,0.0127178048649973,(1-11)[121],-,149.80811530561,30.1918846943899,0
